Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0943700516990522,0.0151805717366035,0.0263907534036678,0,0,0,0.521980763054668,0.00151415479947108,-0.000220542776540461,0.000111414101662979,0.00260803396646625,-3.20371596165029E-05,0.00325792535234044,0,0,0,0,0,0,package://poll_arm_left/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_left/meshes/base.STL,,Box Mount-1/Electronics Box-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
box,-0.0294836466854796,0.00650699178978326,0.044874078657663,0,0,0,1.25224595398726,0.00206596064394956,-0.000334896166615364,0.000136948453654299,0.0035115970252851,-4.17254634185765E-05,0.00431158338218049,0,0,0,0,0,0,package://poll_arm_left/meshes/box.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_left/meshes/box.STL,,Box Mount-1/Electronics Box-1;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/L_channel-1;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-3;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-2;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-1;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-4;dynamixel_xm540_base-1;scara_arm_v2-1/Dynamixel XM540-W150-R servo.stp-1;Box Mount-1/Internal Stepper Motor-1;Box Mount-1/Stepper Motor Mount-1;Box Mount-1/Lid-1;Box Mount-1/mini_estop-1;Box Mount-1/E6-X-472-X-D-H-D-X-1,box,slider_axis,slider,prismatic,0,0,0,0,0,0,base,0,0,1,200,0,0,2,,,0.2,0.2,,,,
bicep,0.19577236492752,-0.0256170060224436,0.030251757517972,0,0,0,0.0881583450015477,4.02190655717306E-05,9.41441514112841E-09,4.66388635592044E-08,2.35490419805005E-05,-9.36030697866667E-08,3.32834464790013E-05,0,0,0,0,0,0,package://poll_arm_left/meshes/bicep.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://poll_arm_left/meshes/bicep.STL,,scara_arm_v2-1/bicep-1;scara_arm_v2-1/Dynamixel XM540-W150-R servo.stp-2,shoulder,shoulder_axis,shoulder,revolute,0.10198,0.044401,0.019165,0,0,0.5236,box,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
forearm,0.0765243373190795,0.00763087662935313,0.0278702986201432,0,0,0,1.58296374201532E-05,7.67204016217178E-09,-5.22801783357387E-11,2.28428361936281E-12,3.25420777474497E-08,4.95200027150691E-13,2.90616522575078E-08,0,0,0,0,0,0,package://poll_arm_left/meshes/forearm.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://poll_arm_left/meshes/forearm.STL,,scara_arm_v2-1/forearm-1,elbow,elbow_axis,elbow,revolute,0.1959,-0.040686,0.0024841,0,0,-1.5708,bicep,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
w1_link,0.011999849295342,0.000549087822445393,0.0223834540031007,0,0,0,0.0565320862795783,1.0226625085126E-05,-6.10475234166538E-10,7.97796107526984E-10,1.43894864274769E-05,3.44003507752819E-07,1.4389503019841E-05,0,0,0,0,0,0,package://poll_arm_left/meshes/w1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_left/meshes/w1_link.STL,,scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC14_A01_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-2/DC11_A01_HORN_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-2/FHS_M2_5X06_NYLOK.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-2;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/EHR-3.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-2/DC11_A01_IDLER_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-3;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-1/DC11_A01_IDLER_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-1/DC11_A01_IDLER_CAP_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-1/DC11_A01_IDLER_SCREW.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/EHR-3.stp-2;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-2/DC11_A01_IDLER_CAP_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-2/DC11_A01_IDLER_SCREW.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-4;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-1/DC11_A01_HORN_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-1/FHS_M2_5X06_NYLOK.stp-1,w1,w1_axis,w1,revolute,0.15435,0,0.0058612,0,0,0,forearm,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
w2_link,0.0566451733011975,-0.00141725658574912,0.0284323416048119,0,0,0,0.153757182920479,9.61201704567482E-05,-2.53181854057694E-06,1.28235405708061E-05,0.000113585627853035,-2.70973268265226E-06,6.51970121574257E-05,0,0,0,0,0,0,package://poll_arm_left/meshes/w2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_left/meshes/w2_link.STL,,End Effector-1/Bracket-1;End Effector-1/Tri-Test Mount 3-1;End Effector-1/Dynamixel Cover-1;End Effector-1/XL-320 Housing-6;End Effector-1/XL-320 Housing-1;End Effector-1/Dynamixel Cover-3;End Effector-1/XL-320 Housing-7;End Effector-1/Dynamixel Cover-2,w2,w2_axis,w2,revolute,0.024,-0.0222,0.021834,-1.5708,0,0,w1_link,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
cam_link,-0.0113814657659481,-3.77656326211451E-08,-8.96828082673773E-05,0,0,0,0.039484046404376,1.13008734896739E-05,-1.1840327216836E-12,-1.1184981555834E-08,7.34442345562825E-06,2.14724251253116E-11,7.39890475454633E-06,0,0,0,0,0,0,package://poll_arm_left/meshes/cam_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_left/meshes/cam_link.STL,,End Effector-1/RealSense D405-1,cam_link,,cam_joint,fixed,0.063863,0,0.083432,0,0.2618,0,w2_link,0,0,0,,,,,,,,,,,,
e1_link,0.00768377159854705,0.00530600599131281,-0.000730992899423188,0,0,0,0.00225996756513805,1.30412723697187E-07,9.73218559749733E-08,2.16169394663049E-08,1.966205244536E-07,-1.2986245459416E-08,3.15647081687985E-07,0,0,0,0,0,0,package://poll_arm_left/meshes/e1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_left/meshes/e1_link.STL,,End Effector-1/Servo Horn-1;End Effector-1/XL-320 Horn-1;End Effector-1/Leg-2,e1,e1_axis,e1,revolute,0.077,0.011263,0.0070007,-1.0472,0,0,w2_link,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
e2_link,0.00768377159939804,0.00530600599028475,-0.000730992897713945,0,0,0,0.00225996756505407,1.30412723709295E-07,9.73218559904026E-08,2.16169394327849E-08,1.96620524444531E-07,-1.2986245443103E-08,3.15647081713528E-07,0,0,0,0,0,0,package://poll_arm_left/meshes/e2_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://poll_arm_left/meshes/e2_link.STL,,End Effector-1/XL-320 Horn-5;End Effector-1/Leg-4;End Effector-1/Servo Horn-4,e2,e2_axis,e2,revolute,0.077,0.0074446,0.039404,1.0472,0,0,w2_link,0,0,-1,200,0,-1.57,1.57,,,0.2,0.2,,,,
e3_link,0.00768377159880085,0.00530600599161343,-0.000730992902174321,0,0,0,0.00225996756527347,1.30412723718879E-07,9.73218559573204E-08,2.16169395180174E-08,1.96620524429933E-07,-1.2986245490849E-08,3.15647081641822E-07,0,0,0,0,0,0,package://poll_arm_left/meshes/e3_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://poll_arm_left/meshes/e3_link.STL,,End Effector-1/XL-320 Horn-4;End Effector-1/Servo Horn-5;End Effector-1/Leg-3,e3,e3_axis,e3,revolute,0.077,-0.018708,0.019895,3.1416,0,0,w2_link,0,0,-1,200,0,-1.57,1.57,,,0.2,0.2,,,,
