Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0574560537463406,-0.00897299551568545,0.00315950874499279,0,0,0,0.102060862865065,0.000122225576804021,-9.2958742759158E-06,-1.01444715462202E-05,0.000452876303795985,-1.72346135928405E-06,0.00057329484827304,0,0,0,0,0,0,package://poll_arm_right/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_right/meshes/base.STL,,Box Mount-1/Lid-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
box,-0.0294836466854795,-0.00650699178978333,0.054665921342337,0,0,0,1.25224595398726,0.00206596064394956,0.000334896166615364,-0.000136948453654299,0.0035115970252851,-4.17254634185766E-05,0.00431158338218049,0,0,0,0,0,0,package://poll_arm_right/meshes/box.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_right/meshes/box.STL,,Box Mount-1/Electronics Box-1;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/L_channel-1;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-3;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-2;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-1;Box Mount-1/Copy of Copy of L_slider^Box Mount-1/47065T204_T-Slotted Framing-4;dynamixel_xm540_base-1;scara_arm_v2-1/Dynamixel XM540-W150-R servo.stp-1;Box Mount-1/Internal Stepper Motor-1;Box Mount-1/Stepper Motor Mount-1;Box Mount-1/Lid-1;Box Mount-1/mini_estop-1;Box Mount-1/E6-X-472-X-D-H-D-X-1,box,slider_axis,slider,prismatic,0,0,0,0,0,0,base,0,0,-1,200,0,0,2,,,0.2,0.2,,,,
bicep,0.19577236492752,0.025617006022445,0.031470242482028,0,0,0,0.0881583450015477,4.02190655717306E-05,-9.41441514101079E-09,-4.66388635592039E-08,2.35490419805005E-05,-9.36030697866667E-08,3.32834464790013E-05,0,0,0,0,0,0,package://poll_arm_right/meshes/bicep.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://poll_arm_right/meshes/bicep.STL,,scara_arm_v2-1/bicep-1;scara_arm_v2-1/Dynamixel XM540-W150-R servo.stp-2,shoulder,shoulder_axis,shoulder,revolute,0.101983673651571,-0.0444010956927517,0.0186529999998991,0,0,-0.523598775598304,box,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
forearm,0.0765243373190801,-0.00763087662935313,0.0278615390492158,0,0,0,1.58296374201529E-05,7.67204016309976E-09,5.2280178335773E-11,-2.28428361913132E-12,3.25420777503674E-08,4.95192741612456E-13,2.90616522555171E-08,0,0,0,0,0,0,package://poll_arm_right/meshes/forearm.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://poll_arm_right/meshes/forearm.STL,,scara_arm_v2-1/forearm-1,elbow,elbow_axis,elbow,revolute,0.1959,0.0406860000000015,0.00350608116532053,0,0,1.5707963267949,bicep,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
w1_link,0.0119998492953422,-0.000549087822445449,0.0216260058358662,0,0,0,0.0565320862795783,1.0226625085126E-05,6.10475234160948E-10,-7.97796107526925E-10,1.43894864274769E-05,3.44003507752819E-07,1.4389503019841E-05,0,0,0,0,0,0,package://poll_arm_right/meshes/w1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_right/meshes/w1_link.STL,,scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC14_A01_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-2/DC11_A01_HORN_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-2/FHS_M2_5X06_NYLOK.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-2;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/EHR-3.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-2/DC11_A01_IDLER_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-3;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-1/DC11_A01_IDLER_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-1/DC11_A01_IDLER_CAP_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-1/DC11_A01_IDLER_SCREW.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/EHR-3.stp-2;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-2/DC11_A01_IDLER_CAP_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_IDLER_REF_ASM.stp-2/DC11_A01_IDLER_SCREW.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/PHS_M2X33_TAP_K.stp-4;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-1/DC11_A01_HORN_REF.stp-1;scara_arm_v2-1/2XL-430-1/2XL-430.stp-1/DC11_A01_HORN_REF_ASM.stp-1/FHS_M2_5X06_NYLOK.stp-1,w1,w1_axis,w1,revolute,0.154351347,0,0.00586118891519596,0,0,0,forearm,0,0,1,200,0,-1.57,1.57,,,0.2,0.2,,,,
w2_link,0.0566451733011976,-0.00141725658574912,0.0284323416048118,0,0,0,0.153757182920479,9.61201704567482E-05,-2.53181854057694E-06,1.28235405708061E-05,0.000113585627853035,-2.70973268265225E-06,6.51970121574257E-05,0,0,0,0,0,0,package://poll_arm_right/meshes/w2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_right/meshes/w2_link.STL,,End Effector-1/Bracket-1;End Effector-1/Tri-Test Mount 3-1;End Effector-1/Dynamixel Cover-1;End Effector-1/XL-320 Housing-6;End Effector-1/XL-320 Housing-1;End Effector-1/Dynamixel Cover-3;End Effector-1/XL-320 Housing-7;End Effector-1/Dynamixel Cover-2,w2,w2_axis,w2,revolute,0.0240000007161376,0.0221999998475506,0.0221750001524488,1.57079632679489,0,0,w1_link,0,0,-1,200,0,-1.57,1.57,,,0.2,0.2,,,,
cam_link,-0.0113814657659484,-3.7765632954212E-08,-8.96828082674883E-05,0,0,0,0.0394840464043759,1.13008734896739E-05,-1.18403271942562E-12,-1.11849815558335E-08,7.34442345562824E-06,2.14724251236641E-11,7.39890475454631E-06,0,0,0,0,0,0,package://poll_arm_right/meshes/cam_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_right/meshes/cam_link.STL,,End Effector-1/RealSense D405-1,cam_link,Axis_cam_joint,cam_joint,fixed,0.063863151034262,0,0.0834316043147122,0,0.26179938779915,0,w2_link,0,0,0,,,,,,,,,,,,
e1_link,0.00768377159854672,0.00530600599131259,-0.000730992899423522,0,0,0,0.00225996756513805,1.30412723697187E-07,9.73218559749733E-08,2.16169394663048E-08,1.966205244536E-07,-1.2986245459416E-08,3.15647081687985E-07,0,0,0,0,0,0,package://poll_arm_right/meshes/e1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://poll_arm_right/meshes/e1_link.STL,,End Effector-1/Servo Horn-1;End Effector-1/XL-320 Horn-1;End Effector-1/Leg-2,e1,e1_axis,e1,revolute,0.0769999999999999,0.0112634866641177,0.00700070249463941,-1.0471975511966,0,0,w2_link,0,0,-1,200,0,-1.57,1.57,,,0.2,0.2,,,,
e2_link,0.0076837715993977,0.00530600599028458,-0.000730992897713667,0,0,0,0.00225996756505407,1.30412723709295E-07,9.73218559904026E-08,2.16169394327849E-08,1.96620524444531E-07,-1.2986245443103E-08,3.15647081713528E-07,0,0,0,0,0,0,package://poll_arm_right/meshes/e2_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://poll_arm_right/meshes/e2_link.STL,,End Effector-1/XL-320 Horn-5;End Effector-1/Leg-4;End Effector-1/Servo Horn-4,e2,e2_axis,e2,revolute,0.077,0.0074446,0.039404,1.0472,0,0,w2_link,0,0,-1,200,0,-1.57,1.57,,,0.2,0.2,,,,
e3_link,0.00768377159880046,0.00530600599161379,-0.000730992902174266,0,0,0,0.00225996756527348,1.30412723718879E-07,9.73218559573204E-08,2.16169395180174E-08,1.96620524429934E-07,-1.2986245490849E-08,3.15647081641822E-07,0,0,0,0,0,0,package://poll_arm_right/meshes/e3_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://poll_arm_right/meshes/e3_link.STL,,End Effector-1/XL-320 Horn-4;End Effector-1/Servo Horn-5;End Effector-1/Leg-3,e3,e3_axis,e3,revolute,0.077000000000051,-0.0187081185534836,0.0198951831632689,3.14159265358979,0,0,w2_link,0,0,-1,200,0,-1.57,1.57,,,0.2,0.2,,,,
